141,824,Ari,48.37,12.48,4.52
142,834,Per,58.7,37.48,3.79
143,837,Hyi,334.41,-71.53,4.84
144,838,Ari,48.2,10.45,3.62
145,840,Per,51.84,20.94,4.23
146,841,For,26.23,-45.86,4.46
147,843,Per,50.95,17.79,4.53
148,850,Eri,32.63,-35.52,4.77
149,854,Per,57.91,34.37,3.96
150,868,,12.36,-61.4,3.92
151,872,Hyi,310.22,-72.92,4.75
152,874,Eri,38.75,-24.55,3.87
153,879,Per,53.9,21.73,4.7
154,882,Per,52.54,17.44,4.94
155,887,Ari,48.5,4.17,4.63
156,888,Ari,48.5,4.17,4.64
157,896,Cet,45.09,-7.79,4.7
158,897,Eri,23.27,-53.74,3.42
159,898,Eri,23.27,-53.74,4.42
160,909,Hor,346.34,-71.35,4.99
161,911,Cet,44.32,-12.59,2.53
162,915,Per,60.02,34.53,2.93
163,918,,61.49,37.5,4.76
164,919,Eri,34.53,-38.91,4.09
165,921,Per,54.91,20.57,3.39
166,932,,72.37,53.53,4.88
167,936,Per,56.17,22.43,2.12
168,937,Per,59.27,30.63,4.05
169,941,Per,57.69,26.08,3.81
170,947,Per,56.36,20.97,4.64
171,951,Ari,50.85,1.82,4.37
172,963,For,34.61,-44.69,3.85
173,972,Ari,51.94,2.89,4.89
174,984,Eri,43.83,-25.92,4.8
175,985,,67.88,45.26,4.85
176,991,,56.3,15.38,4.82
177,994,Eri,39.47,-39.13,4.88
178,996,Cet,48.33,-14.45,4.84
179,999,,55.24,10.3,4.47
180,1002,Per,59.47,24,4.95
181,1003,Eri,40.11,-38.51,3.7
182,1008,,27.22,-58.11,4.27
183,1017,Per,62.08,30.13,1.79
184,1030,Tau,51.16,-9.33,3.6
185,1034,,62.49,29.19,4.98
186,1035,,66.58,39.53,4.22
187,1038,Tau,51.91,-8.8,3.75
188,1040,,66.29,38.49,4.54
189,1044,Per,62.87,29.56,4.67
190,1052,Per,62.61,28.05,4.38
191,1066,Tau,53.59,-5.92,4.1
192,1070,Eri,48.85,-23.34,4.73
193,1083,Ret,355.11,-73.8,4.72
194,1084,Eri,48.17,-27.72,3.73
195,1087,Per,63.75,27.97,4.23
